arm,seed,run_dir,best_epoch,test_macro_mae,test_macro_skill,test_pearson_r,test_global_mae,test_ccc,test_skill_vs_val_constant,val_constant,test_mae_val_constant,test_mae_oracle_constant,constant,winval_macro_skill
cfc,25,runs_power/cfc_s25_T16_lr0.001_k0.1_aug-full,0,13.429933809558703,-0.00241719654529593,0.0747120366869668,8.56729507446289,0.02454377680491367,-0.03938579775921047,1.8200000524520874,12.921028783067854,12.722514843311288,False,0.04214667853045506
cfc,26,runs_power/cfc_s26_T16_lr0.001_k0.1_aug-full,2,13.421928191201117,-0.0018196530559220214,0.13627370188135865,9.9178466796875,0.11264193125680727,-0.038766217190821406,1.8200000524520874,12.921028783067854,12.722514843311288,False,0.03863171343543814
cfc,27,runs_power/cfc_s27_T16_lr0.001_k0.1_aug-full,3,13.716515095479693,-0.023807771755040896,0.0784128788567623,9.967194557189941,0.06476729201893905,-0.061565245753052666,1.8200000524520874,12.921028783067854,12.722514843311288,False,0.019409908997475078
cfc,28,runs_power/cfc_s28_T16_lr0.001_k0.1_aug-full,3,14.585404033774068,-0.08866209091887356,0.08749537562941283,11.65931510925293,0.08325598459801146,-0.12881135694761925,1.8200000524520874,12.921028783067854,12.722514843311288,False,-0.004935376705717864
cfc,29,runs_power/cfc_s29_T16_lr0.001_k0.1_aug-full,23,16.685119071667973,-0.24538590591873088,0.04272783281537786,13.589864730834961,0.04268425245805894,-0.2913150610369901,1.8200000524520874,12.921028783067854,12.722514843311288,False,0.151210884464129
cfc,30,runs_power/cfc_s30_T16_lr0.001_k0.1_aug-full,3,13.796608646243662,-0.02978599575500085,0.011535983369123431,9.240800857543945,0.005192915199118803,-0.06776394340388725,1.8200000524520874,12.921028783067854,12.722514843311288,False,0.028636659324439817
cfc,31,runs_power/cfc_s31_T16_lr0.001_k0.1_aug-full,2,13.206891106894497,0.014230825990407592,-0.012325539997042289,8.215239524841309,-0.002069669471632598,-0.02212380520359547,1.8200000524520874,12.921028783067854,12.722514843311288,False,0.023847444053324063
cfc,32,runs_power/cfc_s32_T16_lr0.001_k0.1_aug-full,0,12.681831917196732,0.053421515119684404,0.24428587738319335,7.987860202789307,0.06359573132135118,0.01851221523355584,1.8200000524520874,12.921028783067854,12.722514843311288,False,0.03781374310749697
cfc,33,runs_power/cfc_s33_T16_lr0.001_k0.1_aug-full,9,15.683006632134806,-0.17058771580814147,0.03513806287971485,11.692371368408203,0.031899247609704584,-0.2137583543414392,1.8200000524520874,12.921028783067854,12.722514843311288,False,0.02649845375651938
cfc,34,runs_power/cfc_s34_T16_lr0.001_k0.1_aug-full,2,13.647934857908607,-0.01868890739880058,0.07680281149190024,9.78097152709961,0.0567853411439418,-0.05625760046238071,1.8200000524520874,12.921028783067854,12.722514843311288,False,-0.005254007901925872
lstm,0,runs_val/runs_fleet/lstm_s0_T16_lr0.001_k0.1_aug-full,3,12.96696774728584,0.032138829479856024,0.24133277008079734,9.925829014647654,0.21256177393087825,-0.0035553642816883446,1.8200000524520874,12.921028783067854,12.722514843311288,False,-0.022337845027823544
lstm,1,runs_val/runs_fleet/lstm_s1_T16_lr0.001_k0.1_aug-full,7,12.880066321974622,0.0386251967525123,0.006536732373784309,7.878974006337306,6.267234961026176e-06,0.0031702166894721495,1.8200000524520874,12.921028783067854,12.722514843311288,False,0.010960942300026866
lstm,2,runs_val/runs_fleet/lstm_s2_T16_lr0.001_k0.1_aug-full,2,12.899168428409999,0.03719940566131341,0.0008497329794958524,7.8806353645508125,8.14578156526006e-07,0.001691843198004639,1.8200000524520874,12.921028783067854,12.722514843311288,False,0.011030134265733404
lstm,3,runs_val/runs_fleet/lstm_s3_T16_lr0.001_k0.1_aug-full,11,12.991605688624963,0.030299840812001766,0.003811319575526495,7.913551052959118,7.596269916555991e-07,-0.005462173851790819,1.8200000524520874,12.921028783067854,12.722514843311288,False,0.010810073027408551
lstm,4,runs_val/runs_fleet/lstm_s4_T16_lr0.001_k0.1_aug-full,6,13.62683196751127,-0.017113776759210664,0.06802162893375667,10.125349295180998,0.056392060268775746,-0.054624379861170524,1.8200000524520874,12.921028783067854,12.722514843311288,False,0.06459202501873051
lstm,5,runs_val/runs_fleet/lstm_s5_T16_lr0.001_k0.1_aug-full,7,12.920085195280196,0.03563816737792802,-0.0008499480155184409,7.884918908442948,-4.858316643979711e-07,7.302729554281573e-05,1.8200000524520874,12.921028783067854,12.722514843311288,False,0.011205465351683874
